Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
AMR,-0.0023024,-0.0018183,0.46843,0,0,0,250,0.88449,0.00017542,0.022848,1.325,-0.00040944,1.5047,0,0,0,0,0,0,package://FMR300/meshes/AMR.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FMR300/meshes/AMR.STL,,装配体3-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
driving wheel,-9.06764386117281E-05,-0.0493227062820876,9.13568922948915E-05,0,0,0,1.26057772812278,0.00196878456779204,1.53979747484883E-06,-3.46336856758748E-06,0.00374520796334388,1.3364373891923E-06,0.00217238949226521,0,0,0,0,0,0,package://FMR300/meshes/driving wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/driving wheel.STL,,driving wheel1-1,driving wheel1,drving wheel axix1,driving wheel1,continuous,0,0.2858,0.0825,0,0,0,AMR,0,1,0,,,,,,,,,,,,
driving wheel2,9.06764996809126E-05,0.0493227062820689,9.13568197185022E-05,0,0,0,1.26057772812207,0.00196878456870053,1.53979744375E-06,3.46336455849254E-06,0.00374520796334207,-1.3364373560009E-06,0.00217238949135589,0,0,0,0,0,0,package://FMR300/meshes/driving wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/driving wheel2.STL,,driving wheel2-3,driving wheel2,driving wheel axix2,driving wheel2,continuous,0,-0.2858,0.0825,0,0,0,AMR,0,-1,0,,,,,,,,,,,,
universal wheel1,-0.0010879795287409,0.00388696244652245,-0.0176393476865022,0,0,0,0.0818891380703348,5.91872581994778E-05,-2.84487323932676E-06,-3.07938914915051E-06,7.1064823969666E-05,1.07932761271879E-05,6.62650018504877E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel1.STL,,2-3,universal wheel1,universal wheel axis1,universal wheel1,continuous,-0.287,0.209,0.0945,0,0,0,AMR,0,0,-1,,,,,,,,,,,,
universal wheel11,0.0257395931351377,-3.44713817601594E-07,-7.29269674626387E-06,0,0,0,0.164828810163177,0.00011565297044345,3.49981437992013E-12,-1.37274836403732E-11,6.43246519295217E-05,1.72863122497719E-11,6.43235182017835E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel11.STL,,3-3,wheel1,axis1,universal wheel11,continuous,-0.029728,0.01338,-0.0564,0,0,0.23754,universal wheel1,1,0,0,,,,,,,,,,,,
universal wheel2,0.0010879795287409,-0.00388696244652265,-0.0176393476865022,0,0,0,0.081889138070335,5.91872581994779E-05,-2.84487323932687E-06,3.07938914915037E-06,7.10648239696664E-05,-1.07932761271881E-05,6.62650018504879E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel2.STL,,2-4,universal wheel4,universal wheel axis4,universal wheel2,continuous,-0.287,-0.209,0.0945,0,0,0,AMR,0,0,-1,,,,,,,,,,,,
universal wheel22,0.0257395931351379,-3.44713817546083E-07,-7.29269674581978E-06,0,0,0,0.164828810163178,0.00011565297044345,3.49981446208232E-12,-1.37274836147788E-11,6.43246519295217E-05,1.72863120559384E-11,6.43235182017836E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel22.STL,,3-4,wheel4,axis4,universal wheel22,continuous,0.0297283654014721,-0.0133801836891925,-0.0564,0,0,-2.90404949909861,universal wheel2,1,0,0,,,,,,,,,,,,
universal wheel3,-0.00388696244652256,-0.00108797952874101,-0.0176393476865018,0,0,0,0.0818891380703349,7.10648239696663E-05,2.84487323932669E-06,-1.07932761271881E-05,5.91872581994777E-05,-3.07938914915032E-06,6.62650018504876E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel3.STL,,2-2,universal wheel3,universal wheel axis3,universal wheel3,continuous,0.2535,-0.178,0.0945,0,0,0,AMR,0,0,-1,,,,,,,,,,,,
universal wheel33,0.0257395931351377,-3.44713817490572E-07,-7.29269674604183E-06,0,0,0,0.164828810163178,0.000115652970443451,3.49981439262562E-12,-1.37274836688913E-11,6.43246519295222E-05,1.72863121061089E-11,6.43235182017836E-05,0,0,0,0,0,0,package://FMR300/meshes/universal wheel33.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel33.STL,,3-2,wheel3,axis3,universal wheel33,continuous,-0.0133801836891926,-0.029728365401472,-0.0564,0,0,1.80833948128608,universal wheel3,1,0,0,,,,,,,,,,,,
universal wheel4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://FMR300/meshes/universal wheel4.STL,1,1,1,1,0,0,0,0,0,0,package://FMR300/meshes/universal wheel4.STL,,2-1,universal wheel2,universal wheel axis2,universal wheel4,continuous,0.2535,0.178,0.0945,0,0,0,AMR,0,0,-1,,,,,,,,,,,,
